iter	Passed	Remaining
326	617	1271
327	619	1269
328	621	1266
329	623	1264
330	624	1262
331	626	1260
332	628	1258
333	630	1256
334	631	1254
335	633	1252
336	635	1249
337	637	1248
338	638	1245
339	640	1243
340	642	1241
341	644	1239
342	645	1237
343	647	1235
344	649	1233
345	651	1230
346	652	1228
347	654	1226
348	656	1224
349	658	1222
350	659	1220
351	661	1218
352	663	1216
353	665	1214
354	667	1211
355	668	1210
356	670	1208
357	672	1206
358	674	1204
359	676	1202
360	678	1201
361	680	1199
362	682	1197
363	684	1195
364	686	1193
365	687	1191
366	689	1189
367	691	1187
368	693	1185
369	695	1184
370	697	1182
371	699	1180
372	701	1179
373	703	1178
374	705	1176
375	707	1174
376	709	1172
377	711	1170
378	713	1168
379	715	1166
380	717	1164
381	718	1162
382	720	1160
383	722	1158
384	724	1156
385	726	1154
386	728	1153
387	729	1151
388	731	1149
389	733	1147
390	735	1144
391	736	1142
392	738	1140
393	740	1138
394	742	1136
395	744	1134
396	745	1132
397	747	1131
398	749	1129
399	751	1127
400	753	1125
401	754	1122
402	756	1120
403	758	1118
404	760	1116
405	762	1114
406	763	1113
407	765	1111
408	767	1109
409	769	1107
410	771	1105
411	772	1103
412	774	1101
413	776	1099
414	778	1097
415	780	1095
416	782	1093
417	784	1091
418	786	1089
419	788	1088
420	789	1086
421	791	1084
422	793	1082
423	795	1080
424	797	1078
425	798	1076
426	800	1074
427	802	1072
428	804	1070
429	806	1068
430	807	1066
431	809	1064
432	811	1062
433	813	1060
434	814	1058
435	816	1056
436	818	1054
437	820	1052
438	822	1050
439	823	1048
440	825	1046
441	827	1044
442	829	1042
443	830	1040
444	832	1038
445	834	1036
446	836	1034
447	837	1032
448	839	1030
449	841	1028
450	843	1027
451	845	1025
452	848	1024
453	850	1022
454	851	1020
455	853	1018
456	855	1016
457	857	1014
458	859	1013
459	861	1011
460	863	1009
461	865	1007
462	867	1006
463	869	1004
464	871	1002
465	873	1000
466	875	999
467	877	997
468	879	995
469	880	993
470	883	991
471	885	990
472	887	988
473	888	986
474	890	984
475	892	982
476	894	980
477	896	978
478	898	977
479	900	975
480	902	973
481	903	971
482	905	969
483	907	967
484	909	965
485	911	963
486	913	962
487	918	963
488	921	963
489	924	962
490	928	962
491	930	961
492	933	959
493	935	958
494	937	956
495	939	954
496	941	953
497	944	951
498	946	950
499	948	948
500	950	946
501	951	944
502	953	942
503	955	940
504	957	938
505	959	936
506	961	934
507	962	932
508	964	930
509	966	928
510	968	926
511	970	924
512	972	922
513	974	921
514	975	919
515	977	917
516	979	915
517	981	913
518	983	911
519	985	909
520	986	907
521	988	905
522	990	903
523	992	901
524	994	899
525	996	897
526	997	895
527	999	893
528	1001	891
529	1003	889
530	1004	887
531	1006	885
532	1008	883
533	1010	881
534	1012	879
535	1013	877
536	1015	875
537	1017	874
538	1019	872
539	1021	870
540	1023	868
541	1025	866
542	1027	864
543	1028	862
544	1030	860
545	1032	858
546	1034	856
547	1036	854
548	1037	852
549	1039	850
550	1041	848
551	1043	846
552	1045	845
553	1047	843
554	1048	841
555	1050	839
556	1052	837
557	1054	835
558	1056	833
559	1058	831
560	1060	829
561	1061	827
562	1063	825
563	1065	823
564	1067	821
565	1068	819
566	1070	817
567	1072	815
568	1074	813
569	1076	812
570	1078	810
571	1080	808
572	1082	806
573	1084	804
574	1086	802
575	1088	801
576	1090	799
577	1091	797
578	1093	795
579	1095	793
580	1097	791
581	1099	789
582	1101	787
583	1103	785
584	1104	783
585	1106	781
586	1108	779
587	1110	778
588	1112	776
589	1114	774
590	1115	772
591	1117	770
592	1119	768
593	1121	766
594	1122	764
595	1124	762
596	1126	760
597	1128	758
598	1130	756
599	1132	754
600	1134	752
601	1135	750
602	1137	749
603	1139	747
604	1142	745
605	1143	743
606	1145	741
607	1147	739
608	1149	737
609	1151	736
610	1153	734
611	1154	732
612	1156	730
613	1158	728
614	1160	726
615	1162	724
616	1163	722
617	1165	720
618	1167	718
619	1169	716
620	1171	714
621	1172	712
622	1174	710
623	1176	708
624	1178	707
625	1180	705
626	1182	703
627	1184	701
628	1185	699
629	1187	697
630	1189	695
631	1191	693
632	1193	691
633	1195	689
634	1196	687
635	1198	686
636	1200	684
637	1202	682
638	1204	680
639	1206	678
640	1208	676
641	1209	674
642	1211	672
643	1213	670
644	1215	669
645	1217	667
646	1219	665
647	1220	663
648	1222	661
649	1224	659
650	1226	657
651	1228	655
652	1229	653
653	1231	651
654	1233	649
655	1235	647
656	1236	645
657	1238	643
658	1240	641
659	1242	639
660	1244	638
661	1245	636
662	1247	634
663	1249	632
664	1251	630
665	1253	628
666	1254	626
667	1256	624
668	1258	622
669	1260	620
670	1262	618
671	1264	617
672	1266	615
673	1267	613
674	1269	611
675	1271	609
676	1273	607
677	1275	605
678	1277	603
679	1278	601
680	1280	599
681	1282	598
682	1284	596
683	1286	594
684	1288	592
685	1290	590
686	1291	588
687	1293	586
688	1295	584
689	1297	582
690	1299	581
691	1301	579
692	1303	577
693	1304	575
694	1306	573
695	1308	571
696	1310	569
697	1313	568
698	1315	566
699	1317	564
700	1319	562
701	1322	561
702	1324	559
703	1326	557
704	1329	556
705	1331	554
706	1333	552
707	1335	550
708	1338	549
709	1339	547
710	1341	545
711	1343	543
712	1345	541
713	1347	539
714	1349	537
715	1350	535
716	1352	533
717	1354	531
718	1356	530
719	1358	528
720	1359	526
721	1361	524
722	1363	522
723	1365	520
724	1367	518
725	1369	516
726	1370	514
727	1372	512
728	1374	511
729	1376	509
730	1378	507
731	1380	505
732	1382	503
733	1383	501
734	1385	499
735	1387	497
736	1389	495
737	1391	493
738	1393	491
739	1394	490
740	1396	488
741	1398	486
742	1400	484
743	1401	482
744	1403	480
745	1405	478
746	1407	476
747	1409	474
748	1411	472
749	1412	470
750	1414	468
751	1416	467
752	1417	465
753	1419	463
754	1421	461
755	1423	459
756	1425	457
757	1426	455
758	1428	453
759	1430	451
760	1432	449
761	1433	447
762	1435	445
763	1437	444
764	1439	442
765	1442	440
766	1444	438
767	1447	437
768	1458	438
769	1460	436
770	1462	434
771	1464	432
772	1467	430
773	1470	429
774	1473	427
775	1475	425
776	1477	424
777	1479	422
778	1481	420
779	1484	418
780	1487	417
781	1489	415
782	1492	413
783	1495	411
784	1498	410
785	1502	409
786	1504	407
787	1506	405
788	1508	403
789	1510	401
790	1512	399
791	1514	397
792	1516	395
793	1518	394
794	1520	392
795	1522	390
796	1524	388
797	1526	386
798	1528	384
799	1530	382
800	1531	380
801	1533	378
802	1535	376
803	1537	374
804	1539	372
805	1541	371
806	1543	369
807	1545	367
808	1547	365
809	1548	363
810	1550	361
811	1552	359
812	1554	357
813	1556	355
814	1557	353
815	1559	351
816	1561	349
817	1563	347
818	1565	345
819	1566	343
820	1568	341
821	1570	340
822	1572	338
823	1573	336
824	1575	334
825	1577	332
826	1579	330
827	1581	328
828	1583	326
829	1585	324
830	1586	322
831	1588	320
832	1590	318
833	1592	316
834	1594	315
835	1596	313
836	1598	311
837	1599	309
838	1601	307
839	1603	305
840	1605	303
841	1607	301
842	1609	299
843	1610	297
844	1612	295
845	1614	293
846	1616	292
847	1618	290
848	1621	288
849	1623	286
850	1624	284
851	1626	282
852	1628	280
853	1630	278
854	1632	276
855	1633	274
856	1635	272
857	1637	271
858	1639	269
859	1642	267
860	1643	265
861	1645	263
862	1647	261
863	1649	259
864	1651	257
865	1652	255
866	1654	253
867	1656	251
868	1658	249
869	1659	248
870	1661	246
871	1663	244
872	1665	242
873	1667	240
874	1669	238
875	1671	236
876	1673	234
877	1675	232
878	1677	230
879	1678	228
880	1680	227
881	1683	225
882	1685	223
883	1687	221
884	1688	219
885	1690	217
886	1692	215
887	1694	213
888	1696	211
889	1698	209
890	1700	207
891	1701	206
892	1703	204
893	1705	202
894	1708	200
895	1710	198
896	1712	196
897	1713	194
898	1715	192
899	1717	190
900	1719	188
901	1721	187
902	1723	185
903	1725	183
904	1727	181
905	1728	179
906	1730	177
907	1732	175
908	1734	173
909	1736	171
910	1738	169
911	1739	167
912	1741	165
913	1743	164
914	1745	162
915	1747	160
916	1748	158
917	1750	156
918	1752	154
919	1754	152
920	1756	150
921	1758	148
922	1760	146
923	1762	145
924	1765	143
925	1766	141
926	1768	139
927	1771	137
928	1772	135
929	1774	133
930	1776	131
931	1778	129
932	1780	127
933	1782	125
934	1784	124
935	1786	122
936	1788	120
937	1790	118
938	1792	116
939	1794	114
940	1795	112
941	1797	110
942	1799	108
943	1802	106
944	1803	104
945	1805	103
946	1807	101
947	1809	99
948	1811	97
949	1813	95
950	1815	93
951	1817	91
952	1819	89
953	1820	87
954	1822	85
955	1824	83
956	1826	82
957	1828	80
958	1830	78
959	1832	76
960	1834	74
961	1835	72
962	1837	70
963	1839	68
964	1841	66
965	1843	64
966	1845	62
967	1847	61
968	1849	59
969	1850	57
970	1852	55
971	1854	53
972	1856	51
973	1858	49
974	1860	47
975	1862	45
976	1864	43
977	1865	41
978	1867	40
979	1869	38
980	1871	36
981	1873	34
982	1875	32
983	1877	30
984	1879	28
985	1881	26
986	1883	24
987	1885	22
988	1887	20
989	1888	19
990	1890	17
991	1892	15
992	1894	13
993	1896	11
994	1898	9
995	1900	7
996	1901	5
997	1903	3
998	1905	1
999	1907	0
