iter	Logloss
0	0.230721235
1	0.1764069729
2	0.1598053913
3	0.1430487976
4	0.1345338774
5	0.1317815262
6	0.125800102
7	0.1209379242
8	0.1147511738
9	0.1070632213
10	0.09915197417
11	0.09036415643
12	0.08693356826
13	0.08232266121
14	0.08181396505
15	0.08143627424
16	0.07708074941
17	0.07066253816
18	0.06841915852
19	0.0668582776
20	0.06190435887
21	0.06148531482
22	0.05792185427
23	0.05520084261
24	0.05140900633
25	0.05075310718
26	0.0499893641
27	0.04712364659
28	0.04668236535
29	0.04586952347
30	0.04572797684
31	0.0445566685
32	0.04228293071
33	0.04046875231
34	0.03896567041
35	0.0388710128
36	0.03699002731
37	0.03491017919
38	0.03385679315
39	0.03321936219
40	0.03087138249
41	0.02998722813
42	0.02873220246
43	0.02834145103
44	0.02828283147
45	0.02736105723
46	0.02633987411
47	0.02527448642
48	0.02417548391
49	0.02382898422
50	0.0235209857
51	0.02325267643
52	0.02266978667
53	0.02107404778
54	0.02042082645
55	0.02001787767
56	0.01977008409
57	0.01922435198
58	0.01922436931
59	0.01922432182
60	0.01922422438
61	0.01870698826
62	0.01850900042
63	0.01844631288
64	0.0184067285
65	0.01795245369
66	0.01740764596
67	0.01665320866
68	0.01588812903
69	0.01520707341
70	0.01502974312
71	0.01454935703
72	0.01432732168
73	0.0141358309
74	0.01374694055
75	0.01355913179
76	0.01338681832
77	0.01316377895
78	0.01300922221
79	0.01281238802
80	0.01235843988
81	0.01175273397
82	0.01144851477
83	0.01089448231
84	0.01089399221
85	0.01089354302
86	0.01089322498
87	0.01086414711
88	0.01059804907
89	0.01001763382
90	0.009795838509
91	0.009590031256
92	0.009379974156
93	0.00916718367
94	0.00901277293
95	0.008756293929
96	0.008147926432
97	0.008034287536
98	0.007652586947
99	0.007430008352
100	0.007337712249
101	0.007337193047
102	0.007337145524
103	0.007337044401
104	0.007336990254
105	0.007336805907
106	0.007336660467
107	0.007336546551
108	0.007336546551
109	0.007336610315
110	0.007336537448
111	0.007336307891
112	0.00733623711
113	0.007336118122
114	0.007335948625
115	0.00733569751
116	0.0073356978
117	0.007335656547
118	0.007335517163
119	0.007335344175
120	0.007335135545
121	0.007334820333
122	0.007334825881
123	0.007334711649
124	0.007334559224
125	0.007334473159
126	0.007334473159
127	0.007333966779
128	0.007333732464
129	0.007333665315
130	0.007333242224
131	0.00722719344
132	0.00722719344
133	0.007227191724
134	0.007227005451
135	0.007226270171
136	0.00722624449
137	0.007226169888
138	0.007226142595
139	0.00722607168
140	0.007225859677
141	0.007225859677
142	0.007225509515
143	0.007225494326
144	0.007225375519
145	0.007225375519
146	0.007225187643
147	0.007225142904
148	0.007224944376
149	0.007224744159
150	0.007224744159
151	0.007223737804
152	0.007223517814
153	0.007223423664
154	0.007223339063
155	0.007218289786
156	0.007218076339
157	0.007218037347
158	0.007218037347
159	0.007217457148
160	0.007217289111
161	0.007217289111
